# JMH 1.5.2 (released 215 days ago, please consider updating!)
# VM invoker: /home/my/dev/java/jdk1.8.0_31/jre/bin/java
# VM options: -javaagent:/usr/share/java/jayatanaag.jar
# Warmup: 1000 iterations, single-shot each
# Measurement: 1000 iterations, single-shot each
# Timeout: 10 min per iteration
# Threads: 1 thread
# Benchmark mode: Single shot invocation time
# Benchmark: fr.soat.LambdaVsAnonymousClassBenchmark.anonymous_class
# Parameters: (nbPersons = 100)

# Warmup Iteration 113: 0,046 ms/op
# Warmup Iteration 114: 0,120 ms/op
# Warmup Iteration 115: 0,108 ms/op
# Warmup Iteration 116: 0,150 ms/op
# Warmup Iteration 117: 0,056 ms/op
# Warmup Iteration 118: 0,047 ms/op
# Warmup Iteration 119: 0,045 ms/op
# Warmup Iteration 120: 0,043 ms/op
# Warmup Iteration 121: 0,073 ms/op
# Warmup Iteration 122: 0,071 ms/op
# Warmup Iteration 123: 0,050 ms/op
# Warmup Iteration 124: 0,046 ms/op
# Warmup Iteration 125: 0,053 ms/op
# Warmup Iteration 126: 0,076 ms/op
# Warmup Iteration 127: 0,053 ms/op
# Warmup Iteration 128: 0,108 ms/op
# Warmup Iteration 129: 0,072 ms/op
# Warmup Iteration 130: 0,040 ms/op
# Warmup Iteration 131: 0,039 ms/op
# Warmup Iteration 132: 0,038 ms/op
# Warmup Iteration 133: 0,038 ms/op
# Warmup Iteration 134: 0,038 ms/op
# Warmup Iteration 135: 0,040 ms/op
# Warmup Iteration 136: 0,043 ms/op
# Warmup Iteration 137: 0,042 ms/op
# Warmup Iteration 138: 0,121 ms/op
# Warmup Iteration 139: 0,480 ms/op
# Warmup Iteration 140: 0,175 ms/op
# Warmup Iteration 141: 0,145 ms/op
# Warmup Iteration 142: 0,340 ms/op
# Warmup Iteration 143: 0,079 ms/op
# Warmup Iteration 144: 0,055 ms/op
# Warmup Iteration 145: 0,063 ms/op
# Warmup Iteration 146: 0,061 ms/op
# Warmup Iteration 147: 0,049 ms/op
# Warmup Iteration 148: 0,050 ms/op
# Warmup Iteration 149: 0,046 ms/op
# Warmup Iteration 150: 0,049 ms/op
# Warmup Iteration 151: 0,052 ms/op
# Warmup Iteration 152: 0,056 ms/op
# Warmup Iteration 153: 0,052 ms/op
# Warmup Iteration 154: 0,050 ms/op
# Warmup Iteration 155: 0,054 ms/op
# Warmup Iteration 156: 0,052 ms/op
# Warmup Iteration 157: 0,059 ms/op
# Warmup Iteration 158: 0,054 ms/op
# Warmup Iteration 159: 0,059 ms/op
# Warmup Iteration 160: 0,054 ms/op
# Warmup Iteration 161: 0,076 ms/op
# Warmup Iteration 162: 0,058 ms/op
