# JMH 1.5.2 (released 215 days ago, please consider updating!)
# VM invoker: /home/my/dev/java/jdk1.8.0_31/jre/bin/java
# VM options: -javaagent:/usr/share/java/jayatanaag.jar
# Warmup: 5000 iterations, single-shot each
# Measurement: 5000 iterations, single-shot each
# Timeout: 10 min per iteration
# Threads: 1 thread
# Benchmark mode: Single shot invocation time
# Benchmark: fr.soat.LambdaVsAnonymousClassBenchmark.anonymous_class
# Parameters: (nbPersons = 6400)

# Run progress: 0,00% complete, ETA 00:01:40
# Fork: 1 of 1
Picked up JAVA_TOOL_OPTIONS: -javaagent:/usr/share/java/jayatanaag.jar 
# Warmup Iteration 113: 5,707 ms/op
# Warmup Iteration 114: 11,401 ms/op
# Warmup Iteration 115: 6,975 ms/op
# Warmup Iteration 116: 5,762 ms/op
# Warmup Iteration 117: 11,897 ms/op
# Warmup Iteration 118: 6,589 ms/op
# Warmup Iteration 119: 6,063 ms/op
# Warmup Iteration 120: 9,867 ms/op
# Warmup Iteration 121: 7,294 ms/op
# Warmup Iteration 122: 6,242 ms/op
# Warmup Iteration 123: 5,637 ms/op
# Warmup Iteration 124: 5,430 ms/op
# Warmup Iteration 125: 7,889 ms/op
# Warmup Iteration 126: 16,841 ms/op
# Warmup Iteration 127: 7,850 ms/op
# Warmup Iteration 128: 6,545 ms/op
# Warmup Iteration 129: 6,171 ms/op
# Warmup Iteration 130: 5,986 ms/op
# Warmup Iteration 131: 7,016 ms/op
# Warmup Iteration 132: 5,535 ms/op
# Warmup Iteration 133: 5,429 ms/op
# Warmup Iteration 134: 5,802 ms/op
# Warmup Iteration 135: 9,719 ms/op
# Warmup Iteration 136: 5,268 ms/op
# Warmup Iteration 137: 4,817 ms/op
# Warmup Iteration 138: 5,200 ms/op
# Warmup Iteration 139: 11,787 ms/op
# Warmup Iteration 140: 10,515 ms/op
# Warmup Iteration 141: 6,464 ms/op
# Warmup Iteration 142: 12,278 ms/op
# Warmup Iteration 143: 7,040 ms/op
# Warmup Iteration 144: 5,609 ms/op
# Warmup Iteration 145: 5,874 ms/op
# Warmup Iteration 146: 10,040 ms/op
# Warmup Iteration 147: 6,845 ms/op
# Warmup Iteration 148: 6,542 ms/op
# Warmup Iteration 149: 5,948 ms/op
# Warmup Iteration 150: 10,842 ms/op
# Warmup Iteration 151: 6,049 ms/op
# Warmup Iteration 152: 5,590 ms/op
# Warmup Iteration 153: 5,827 ms/op
# Warmup Iteration 154: 5,781 ms/op
# Warmup Iteration 155: 8,709 ms/op
# Warmup Iteration 156: 5,604 ms/op
# Warmup Iteration 157: 5,396 ms/op
# Warmup Iteration 158: 5,963 ms/op
# Warmup Iteration 159: 9,482 ms/op
# Warmup Iteration 160: 5,886 ms/op
# Warmup Iteration 161: 5,940 ms/op
# Warmup Iteration 162: 8,544 ms/op
# Warmup Iteration 163: 8,951 ms/op
# Warmup Iteration 164: 7,180 ms/op
# Warmup Iteration 165: 6,114 ms/op
# Warmup Iteration 166: 7,408 ms/op
# Warmup Iteration 167: 4,009 ms/op
# Warmup Iteration 168: 3,942 ms/op
# Warmup Iteration 169: 8,337 ms/op
# Warmup Iteration 170: 3,722 ms/op
# Warmup Iteration 171: 4,464 ms/op
# Warmup Iteration 172: 6,188 ms/op
# Warmup Iteration 173: 3,030 ms/op
# Warmup Iteration 174: 3,441 ms/op
# Warmup Iteration 175: 2,907 ms/op
# Warmup Iteration 176: 3,368 ms/op
# Warmup Iteration 177: 3,453 ms/op
# Warmup Iteration 178: 4,232 ms/op
# Warmup Iteration 179: 5,622 ms/op
# Warmup Iteration 180: 3,533 ms/op
# Warmup Iteration 181: 3,494 ms/op
# Warmup Iteration 182: 3,667 ms/op
# Warmup Iteration 183: 3,790 ms/op
# Warmup Iteration 184: 3,645 ms/op
# Warmup Iteration 185: 3,650 ms/op
# Warmup Iteration 186: 6,662 ms/op
# Warmup Iteration 187: 4,737 ms/op
# Warmup Iteration 188: 4,441 ms/op
# Warmup Iteration 189: 4,202 ms/op
# Warmup Iteration 190: 3,736 ms/op
# Warmup Iteration 191: 2,971 ms/op
# Warmup Iteration 192: 3,033 ms/op
# Warmup Iteration 193: 6,706 ms/op
# Warmup Iteration 194: 4,213 ms/op
# Warmup Iteration 195: 3,200 ms/op
# Warmup Iteration 196: 3,108 ms/op
# Warmup Iteration 197: 3,636 ms/op
# Warmup Iteration 198: 4,897 ms/op
# Warmup Iteration 199: 4,671 ms/op
# Warmup Iteration 200: 2,981 ms/op
# Warmup Iteration 201: 2,977 ms/op
# Warmup Iteration 202: 3,310 ms/op
# Warmup Iteration 203: 3,388 ms/op
# Warmup Iteration 204: 2,923 ms/op
# Warmup Iteration 205: 3,820 ms/op
# Warmup Iteration 206: 6,108 ms/op
# Warmup Iteration 207: 2,984 ms/op
# Warmup Iteration 208: 2,928 ms/op
# Warmup Iteration 209: 3,318 ms/op
