# JMH 1.5.2 (released 231 days ago, please consider updating!)
# VM invoker: /home/my/dev/java/jdk1.8.0_31/jre/bin/java
# VM options: -javaagent:/usr/share/java/jayatanaag.jar
# Warmup: 1000 iterations, single-shot each
# Measurement: 1000 iterations, single-shot each
# Timeout: 10 min per iteration
# Threads: 1 thread
# Benchmark mode: Single shot invocation time
# Benchmark: fr.soat.LambdaVsAnonymousClassBenchmark.parallel_anonymous_class
# Parameters: (nbPersons = 10)

# Warmup Iteration 113: 0,010 ms/op
# Warmup Iteration 114: 0,011 ms/op
# Warmup Iteration 115: 0,009 ms/op
# Warmup Iteration 116: 0,012 ms/op
# Warmup Iteration 117: 0,013 ms/op
# Warmup Iteration 118: 0,012 ms/op
# Warmup Iteration 119: 0,015 ms/op
# Warmup Iteration 120: 0,012 ms/op
# Warmup Iteration 121: 0,009 ms/op
# Warmup Iteration 122: 0,011 ms/op
# Warmup Iteration 123: 0,010 ms/op
# Warmup Iteration 124: 0,008 ms/op
# Warmup Iteration 125: 0,010 ms/op
# Warmup Iteration 126: 0,009 ms/op
# Warmup Iteration 127: 0,008 ms/op
# Warmup Iteration 128: 0,012 ms/op
# Warmup Iteration 129: 0,011 ms/op
# Warmup Iteration 130: 0,008 ms/op
# Warmup Iteration 131: 0,012 ms/op
# Warmup Iteration 132: 0,010 ms/op
# Warmup Iteration 133: 0,009 ms/op
# Warmup Iteration 134: 0,009 ms/op
# Warmup Iteration 135: 0,009 ms/op
# Warmup Iteration 136: 0,009 ms/op
# Warmup Iteration 137: 0,008 ms/op
# Warmup Iteration 138: 0,008 ms/op
# Warmup Iteration 139: 0,011 ms/op
# Warmup Iteration 140: 0,010 ms/op
# Warmup Iteration 141: 0,008 ms/op
# Warmup Iteration 142: 0,008 ms/op
# Warmup Iteration 143: 0,008 ms/op
# Warmup Iteration 144: 0,012 ms/op
# Warmup Iteration 145: 0,010 ms/op
# Warmup Iteration 146: 0,010 ms/op
# Warmup Iteration 147: 0,009 ms/op
# Warmup Iteration 148: 0,008 ms/op
# Warmup Iteration 149: 0,009 ms/op
# Warmup Iteration 150: 0,009 ms/op
# Warmup Iteration 151: 0,008 ms/op
# Warmup Iteration 152: 0,008 ms/op
# Warmup Iteration 153: 0,010 ms/op
# Warmup Iteration 154: 0,013 ms/op
# Warmup Iteration 155: 0,012 ms/op
# Warmup Iteration 156: 0,023 ms/op
# Warmup Iteration 157: 0,012 ms/op
# Warmup Iteration 158: 0,010 ms/op
# Warmup Iteration 159: 0,008 ms/op
# Warmup Iteration 160: 0,012 ms/op
# Warmup Iteration 161: 0,010 ms/op
# Warmup Iteration 162: 0,008 ms/op
# Warmup Iteration 163: 0,019 ms/op
# Warmup Iteration 164: 0,010 ms/op
# Warmup Iteration 165: 0,010 ms/op
# Warmup Iteration 166: 0,008 ms/op
# Warmup Iteration 167: 0,008 ms/op
# Warmup Iteration 168: 0,013 ms/op
# Warmup Iteration 169: 0,012 ms/op
# Warmup Iteration 170: 0,008 ms/op
# Warmup Iteration 171: 0,008 ms/op
# Warmup Iteration 172: 0,010 ms/op
# Warmup Iteration 173: 0,009 ms/op
# Warmup Iteration 174: 0,008 ms/op
# Warmup Iteration 175: 0,009 ms/op
# Warmup Iteration 176: 0,031 ms/op
# Warmup Iteration 177: 0,011 ms/op
# Warmup Iteration 178: 0,012 ms/op
# Warmup Iteration 179: 0,009 ms/op
# Warmup Iteration 180: 0,010 ms/op
# Warmup Iteration 181: 0,007 ms/op
# Warmup Iteration 182: 0,010 ms/op
# Warmup Iteration 183: 0,012 ms/op
# Warmup Iteration 184: 0,010 ms/op
# Warmup Iteration 185: 0,009 ms/op
# Warmup Iteration 186: 0,016 ms/op
# Warmup Iteration 187: 0,012 ms/op
# Warmup Iteration 188: 0,012 ms/op
# Warmup Iteration 189: 0,012 ms/op
# Warmup Iteration 190: 0,012 ms/op
# Warmup Iteration 191: 0,009 ms/op
# Warmup Iteration 192: 0,009 ms/op
# Warmup Iteration 193: 0,008 ms/op
# Warmup Iteration 194: 0,008 ms/op
# Warmup Iteration 195: 0,008 ms/op
# Warmup Iteration 196: 0,007 ms/op
# Warmup Iteration 197: 0,007 ms/op
# Warmup Iteration 198: 0,007 ms/op
# Warmup Iteration 199: 0,006 ms/op
# Warmup Iteration 200: 0,008 ms/op
# Warmup Iteration 201: 0,007 ms/op
# Warmup Iteration 202: 0,008 ms/op
# Warmup Iteration 203: 0,009 ms/op
# Warmup Iteration 204: 0,009 ms/op
# Warmup Iteration 205: 0,008 ms/op
# Warmup Iteration 206: 0,008 ms/op
# Warmup Iteration 207: 0,008 ms/op
