Iteration   4: 78,066 ops/s
Iteration   5: 78,216 ops/s
Iteration   6: 78,213 ops/s
Iteration   7: 78,352 ops/s
Iteration   8: 78,390 ops/s
Iteration   9: 78,356 ops/s
Iteration  10: 78,317 ops/s
Iteration  11: 78,087 ops/s
Iteration  12: 78,268 ops/s
Iteration  13: 78,420 ops/s
Iteration  14: 78,464 ops/s
Iteration  15: 78,104 ops/s
Iteration  16: 77,970 ops/s
Iteration  17: 78,183 ops/s
Iteration  18: 78,126 ops/s
Iteration  19: 78,212 ops/s
Iteration  20: 78,103 ops/s


Result: 78,206 ±(99.9%) 0,121 ops/s [Average]
  Statistics: (min, avg, max) = (77,970, 78,206, 78,464), stdev = 0,139
  Confidence interval (99.9%): [78,085, 78,327]


# JMH 1.5.2 (released 30 days ago)
# VM invoker: /home/my/dev/java/jdk1.7.0_75/jre/bin/java
# VM options: -Djava.util.Arrays.useLegacyMergeSort=true -server -Xmx2g -XX:+TieredCompilation
# Warmup: 20 iterations, 2000 ms each
# Measurement: 20 iterations, 2000 ms each
# Timeout: 10 min per iteration
# Threads: 2 threads, will synchronize iterations
# Benchmark mode: Throughput, ops/time
# Benchmark: fr.soat.AnonymousClassMergeSortBenchmark.anonymous_class_for_comparator
# Parameters: (nbPersons = 100000)

# Run progress: 21,43% complete, ETA 00:16:27
# Fork: 1 of 1
# Warmup Iteration   1: 29,543 ops/s
# Warmup Iteration   2: 32,810 ops/s
# Warmup Iteration   3: 32,980 ops/s
# Warmup Iteration   4: 32,965 ops/s
# Warmup Iteration   5: 32,857 ops/s
# Warmup Iteration   6: 32,611 ops/s
# Warmup Iteration   7: 32,673 ops/s
# Warmup Iteration   8: 32,817 ops/s
# Warmup Iteration   9: 32,687 ops/s
# Warmup Iteration  10: 32,729 ops/s
# Warmup Iteration  11: 32,749 ops/s
# Warmup Iteration  12: 32,868 ops/s
# Warmup Iteration  13: 32,835 ops/s
# Warmup Iteration  14: 32,605 ops/s
# Warmup Iteration  15: 32,582 ops/s
# Warmup Iteration  16: 32,704 ops/s
# Warmup Iteration  17: 32,283 ops/s
# Warmup Iteration  18: 32,477 ops/s
# Warmup Iteration  19: 32,460 ops/s
# Warmup Iteration  20: 32,475 ops/s
Iteration   1: 32,458 ops/s
Iteration   2: 32,635 ops/s
Iteration   3: 32,742 ops/s
Iteration   4: 32,713 ops/s
Iteration   5: 32,765 ops/s
Iteration   6: 32,752 ops/s
Iteration   7: 32,653 ops/s
Iteration   8: 32,704 ops/s
Iteration   9: 32,919 ops/s
Iteration  10: 32,922 ops/s
Iteration  11: 32,688 ops/s
Iteration  12: 32,355 ops/s
Iteration  13: 32,699 ops/s
Iteration  14: 32,957 ops/s
Iteration  15: 32,718 ops/s
Iteration  16: 32,831 ops/s
Iteration  17: 32,638 ops/s
Iteration  18: 33,000 ops/s
Iteration  19: 32,636 ops/s
Iteration  20: 32,841 ops/s


Result: 32,731 ±(99.9%) 0,137 ops/s [Average]
  Statistics: (min, avg, max) = (32,355, 32,731, 33,000), stdev = 0,158
  Confidence interval (99.9%): [32,594, 32,868]


# JMH 1.5.2 (released 30 days ago)
# VM invoker: /home/my/dev/java/jdk1.7.0_75/jre/bin/java
# VM options: -Djava.util.Arrays.useLegacyMergeSort=true -server -Xmx2g -XX:+TieredCompilation
# Warmup: 20 iterations, 2000 ms each
# Measurement: 20 iterations, 2000 ms each
# Timeout: 10 min per iteration
# Threads: 2 threads, will synchronize iterations
# Benchmark mode: Throughput, ops/time
# Benchmark: fr.soat.AnonymousClassMergeSortBenchmark.anonymous_class_for_comparator
# Parameters: (nbPersons = 200000)

# Run progress: 28,57% complete, ETA 00:15:05
# Fork: 1 of 1
# Warmup Iteration   1: 13,081 ops/s
# Warmup Iteration   2: 13,809 ops/s
# Warmup Iteration   3: 13,878 ops/s
# Warmup Iteration   4: 13,673 ops/s
# Warmup Iteration   5: 13,823 ops/s
# Warmup Iteration   6: 13,840 ops/s
# Warmup Iteration   7: 13,855 ops/s
# Warmup Iteration   8: 13,828 ops/s
# Warmup Iteration   9: 13,831 ops/s
# Warmup Iteration  10: 13,849 ops/s
# Warmup Iteration  11: 13,805 ops/s
# Warmup Iteration  12: 13,812 ops/s
# Warmup Iteration  13: 13,795 ops/s
# Warmup Iteration  14: 13,871 ops/s
# Warmup Iteration  15: 13,876 ops/s
# Warmup Iteration  16: 13,852 ops/s
# Warmup Iteration  17: 13,695 ops/s
# Warmup Iteration  18: 13,875 ops/s
# Warmup Iteration  19: 13,819 ops/s
# Warmup Iteration  20: 13,868 ops/s
Iteration   1: 13,876 ops/s
Iteration   2: 13,832 ops/s
Iteration   3: 13,860 ops/s
Iteration   4: 13,803 ops/s
Iteration   5: 13,820 ops/s
Iteration   6: 13,869 ops/s
Iteration   7: 13,860 ops/s
Iteration   8: 13,805 ops/s
Iteration   9: 13,779 ops/s
Iteration  10: 13,789 ops/s
Iteration  11: 13,750 ops/s
Iteration  12: 13,719 ops/s
Iteration  13: 13,434 ops/s
Iteration  14: 13,784 ops/s
Iteration  15: 13,793 ops/s
Iteration  16: 13,722 ops/s
Iteration  17: 13,510 ops/s
Iteration  18: 13,535 ops/s
Iteration  19: 13,785 ops/s
Iteration  20: 13,827 ops/s


Result: 13,758 ±(99.9%) 0,107 ops/s [Average]
  Statistics: (min, avg, max) = (13,434, 13,758, 13,876), stdev = 0,123
  Confidence interval (99.9%): [13,651, 13,864]


# JMH 1.5.2 (released 30 days ago)
# VM invoker: /home/my/dev/java/jdk1.7.0_75/jre/bin/java
# VM options: -Djava.util.Arrays.useLegacyMergeSort=true -server -Xmx2g -XX:+TieredCompilation
# Warmup: 20 iterations, 2000 ms each
# Measurement: 20 iterations, 2000 ms each
# Timeout: 10 min per iteration
# Threads: 2 threads, will synchronize iterations
# Benchmark mode: Throughput, ops/time
# Benchmark: fr.soat.AnonymousClassMergeSortBenchmark.anonymous_class_for_comparator
# Parameters: (nbPersons = 400000)

# Run progress: 35,71% complete, ETA 00:13:48
# Fork: 1 of 1
# Warmup Iteration   1: 5,509 ops/s
# Warmup Iteration   2: 5,921 ops/s
# Warmup Iteration   3: 5,890 ops/s
# Warmup Iteration   4: 5,982 ops/s
# Warmup Iteration   5: 5,950 ops/s
# Warmup Iteration   6: 5,978 ops/s
# Warmup Iteration   7: 5,899 ops/s
# Warmup Iteration   8: 5,873 ops/s
# Warmup Iteration   9: 5,908 ops/s
# Warmup Iteration  10: 5,945 ops/s
# Warmup Iteration  11: 5,944 ops/s
# Warmup Iteration  12: 5,853 ops/s
# Warmup Iteration  13: 5,885 ops/s
# Warmup Iteration  14: 5,887 ops/s
# Warmup Iteration  15: 5,883 ops/s
# Warmup Iteration  16: 5,886 ops/s
# Warmup Iteration  17: 5,899 ops/s
