# JMH 1.5.2 (released 220 days ago, please consider updating!)
# VM invoker: /home/my/dev/java/jdk1.7.0_75/jre/bin/java
# VM options: -javaagent:/usr/share/java/jayatanaag.jar
# Warmup: 1000 iterations, single-shot each
# Measurement: 1000 iterations, single-shot each
# Timeout: 10 min per iteration
# Threads: 1 thread
# Benchmark mode: Single shot invocation time
# Benchmark: fr.soat.BaselineJava7Benchmark.anonymous_class
# Parameters: (nbPersons = 100)

# Run progress: 0,00% complete, ETA 00:00:22
# Fork: 1 of 1
Picked up JAVA_TOOL_OPTIONS: -javaagent:/usr/share/java/jayatanaag.jar 
# Warmup Iteration 114: 0,059 ms/op
# Warmup Iteration 115: 0,064 ms/op
# Warmup Iteration 116: 0,056 ms/op
# Warmup Iteration 117: 0,056 ms/op
# Warmup Iteration 118: 0,056 ms/op
# Warmup Iteration 119: 0,057 ms/op
# Warmup Iteration 120: 0,056 ms/op
# Warmup Iteration 121: 0,059 ms/op
# Warmup Iteration 122: 0,055 ms/op
# Warmup Iteration 123: 0,055 ms/op
# Warmup Iteration 124: 0,057 ms/op
# Warmup Iteration 125: 0,057 ms/op
# Warmup Iteration 126: 0,102 ms/op
# Warmup Iteration 127: 0,061 ms/op
# Warmup Iteration 128: 0,121 ms/op
# Warmup Iteration 129: 0,061 ms/op
# Warmup Iteration 130: 0,055 ms/op
# Warmup Iteration 131: 0,055 ms/op
# Warmup Iteration 132: 0,055 ms/op
# Warmup Iteration 133: 0,057 ms/op
# Warmup Iteration 134: 0,058 ms/op
# Warmup Iteration 135: 0,059 ms/op
# Warmup Iteration 136: 0,063 ms/op
# Warmup Iteration 137: 0,059 ms/op
# Warmup Iteration 138: 0,056 ms/op
# Warmup Iteration 139: 0,055 ms/op
# Warmup Iteration 140: 0,054 ms/op
# Warmup Iteration 141: 0,055 ms/op
# Warmup Iteration 142: 0,055 ms/op
# Warmup Iteration 143: 0,054 ms/op
# Warmup Iteration 144: 0,055 ms/op
# Warmup Iteration 145: 0,055 ms/op
# Warmup Iteration 146: 0,057 ms/op
